0	 1.000000	 0.000000	 0.000000	 0.000000	-0.000000	 1.000000	-0.000000	-0.000000	 0.000000	 0.000000	 1.000000	 0.000000	 0.000000	 0.000000	 0.000000	 1.000000
1	 0.999989	 0.003302	 0.003453	 0.000042	-0.003319	 0.999979	 0.005679	 0.000545	-0.003433	-0.005692	 0.999977	 0.011220	 0.000000	 0.000000	 0.000000	 1.000000
2	 0.999979	 0.003718	 0.005381	 0.000532	-0.003778	 0.999927	 0.011609	 0.001680	-0.005337	-0.011632	 0.999916	 0.021692	 0.000000	 0.000000	 0.000000	 1.000000
3	 0.999966	 0.004087	 0.007295	 0.001688	-0.004194	 0.999879	 0.015150	 0.003016	-0.007231	-0.015183	 0.999856	 0.032965	 0.000000	 0.000000	 0.000000	 1.000000
4	 0.999959	 0.006098	 0.006858	 0.003769	-0.006197	 0.999870	 0.015012	 0.004668	-0.006764	-0.015057	 0.999861	 0.046942	 0.000000	 0.000000	 0.000000	 1.000000
5	 0.999968	 0.006720	 0.004461	 0.005959	-0.006774	 0.999896	 0.012890	 0.006211	-0.004373	-0.012923	 0.999905	 0.059411	 0.000000	 0.000000	 0.000000	 1.000000
6	 0.999972	 0.007361	 0.001862	 0.008661	-0.007378	 0.999911	 0.011214	 0.007685	-0.001779	-0.011229	 0.999933	 0.072392	 0.000000	 0.000000	 0.000000	 1.000000
7	 0.999979	 0.006381	-0.001468	 0.012446	-0.006365	 0.999940	 0.009007	 0.009076	 0.001526	-0.008999	 0.999957	 0.088296	 0.000000	 0.000000	 0.000000	 1.000000
8	 0.999975	 0.004192	-0.005692	 0.016720	-0.004157	 0.999973	 0.006124	 0.010168	 0.005717	-0.006101	 0.999964	 0.104722	 0.000000	 0.000000	 0.000000	 1.000000
9	 0.999962	 0.005018	-0.007122	 0.020953	-0.004984	 0.999977	 0.004691	 0.010795	 0.007144	-0.004656	 0.999963	 0.119067	 0.000000	 0.000000	 0.000000	 1.000000
10	 0.999925	 0.006169	-0.010563	 0.026929	-0.006123	 0.999972	 0.004282	 0.011013	 0.010588	-0.004217	 0.999935	 0.138633	 0.000000	 0.000000	 0.000000	 1.000000
11	 0.999901	 0.005332	-0.012963	 0.032558	-0.005346	 0.999985	-0.000978	 0.010662	 0.012957	 0.001048	 0.999916	 0.155763	 0.000000	 0.000000	 0.000000	 1.000000
12	 0.999897	 0.005246	-0.013364	 0.038883	-0.005334	 0.999963	-0.006500	 0.009560	 0.013329	 0.006573	 0.999891	 0.172678	 0.000000	 0.000000	 0.000000	 1.000000
13	 0.999933	 0.002838	-0.011157	 0.046010	-0.002905	 0.999977	-0.005934	 0.007589	 0.011139	 0.005968	 0.999922	 0.192064	 0.000000	 0.000000	 0.000000	 1.000000
14	 0.999935	-0.001342	-0.011234	 0.051589	 0.001308	 0.999995	-0.002831	 0.005569	 0.011236	 0.002817	 0.999934	 0.206356	 0.000000	 0.000000	 0.000000	 1.000000
15	 0.999826	-0.006697	-0.017342	 0.059168	 0.006607	 0.999966	-0.004964	 0.002638	 0.017371	 0.004851	 0.999839	 0.224710	 0.000000	 0.000000	 0.000000	 1.000000
16	 0.999765	-0.009565	-0.019384	 0.064887	 0.009351	 0.999897	-0.010780	 0.000161	 0.019481	 0.010600	 0.999757	 0.237710	 0.000000	 0.000000	 0.000000	 1.000000
17	 0.999684	-0.013387	-0.021173	 0.071111	 0.012935	 0.999694	-0.020950	-0.002777	 0.021444	 0.020675	 0.999561	 0.252303	 0.000000	 0.000000	 0.000000	 1.000000
